キャラクターID,名前,セリフ,背景,イベントフラグ,分岐判定,シーン切り替え,名前,分岐セリフ,メモ
,,みんな誰しもが人生、楽に生きたいと一度は考えたことがあるだろう。,通学路（夕）,,,,悠希,「それはもう、美少女に生まれ変わって姫みたいにお世話されて楽に生きたいでしょ」,
,,小学校からの幼馴染の冬馬と凛と一緒に帰宅していた時、ふと思い浮かんだ。,,,,,悠希,「冬馬と一緒で金持ちの家のお嬢様みたいな楽な生活でしょ」,
,,幼馴染たちに問いかけてそれぞれが考える理想の楽な人生を話ていた。,,,,,悠希,「神になってみる!」,
0,悠希,「人生を楽に過ごせるならどんな楽な人生がいい？」,,,,,,,
2,冬馬,「やっぱり楽に人生を生きるなら金持ちの家に生まれるのが早いんじゃないか」,,,,,,,
3,凜,「金持ちの家ってしきたりとかで厳しいイメージあるんだけど、悠希はどう思う？」,,TRUE,,,,,
2,冬馬,「悠希～、流石にそれは考えが飛びすぎじゃないか」,,,分岐1,,,,
3,凜,「そうね。生まれ変わるという考えはなかったわ。」,,,,,,,
2,冬馬,「いや、ありえないだろ。何で、その手があったか。みたいになってんだよ」,,,,,,,
3,凜,「……冗談よ。悠希、流石にそれはありえないと思うわ」,,,,,,,
0,悠希,「確か、今日の夜って流星が流れるんでしょ。それに願えばもしかしたら……」,,,,,,,
2,冬馬,「願いをかなえるのは流れ星だよ」,,,,,,,
3,凜,「冬馬、あなた夢ないわね～」,,,,,,,
2,冬馬,「ほっとけ」,,,,,,,
3,凜,「そんな事よりも夏休みの課題。あなた達、終わってるの？」,,,,,,,
2,冬馬,「あ、やばい、数学の課題が少し残ってたかも。……凜、課題見せてくんね？」,,,,,,,
3,凜,「は～、やっぱり。いいけどアイス二個おごりね」,,,,,,,
2,凜,「くっ、いいだろう」,,,,,,,
3,凜,「悠希は課題大丈夫？」,,,,,,,
0,悠希,「あぁ。ほとんど終わってるから大丈夫だよ」,,,,,,,
100,,そんなくだらない話をしながらそれぞれ家に帰宅した。,通学路（夜）,,,,,,
,,変な夢を見たような気がしたが思いの外よく眠れた気がする。,夜空,,,,,,
,,そして、俺は神のいたずらに遇っていた。,,,,,,,
,悠希の母,「悠希～、そろそろ起きなさい～。学校の授業に遅刻しちゃうわよ～」,女の子の部屋（朝）,,,,,,
,悠希,「んぅ～、……今何時だ？（まぁ、とりあえず着替えるか）もう起きてるよ～」,,,,,,,
,,どこか違和感を感じた気がしたが、とりあえず着替えようとベッドから降りて立ち上がるとそこは俺の部屋みたいな知らない部屋だった。,,,,,,,
,悠希,「なにこれ？女の子の部屋みたいじゃないか！」,,,,,,,
,悠希,「ん？」,,,,,,,
,悠希,「なんか声が高い？」,,,,,,,
,悠希,「心なしか身体にも違和感が……」,,,,,,,
,,違和感の正体に気付き自分の身体を見るとそこにはないはずのものが存在しあるはずのものがなくなっていた。,,,,,,,
1,悠希,「えっ？俺、女の子になってる～！」,,,,,,,
,,俺は驚きのあまり声を上げてしまった。,,,,,,,
,悠希の母,「悠希～、どうしたのそんな大声で～。」,,,,,,,
1,悠希,「な、何でもないよ」,,,,,,,
,悠希の母,「それなら早く学校の準備しなさい。本当に遅刻するわよ」,,,,,,,
,,時計を見たら八時半を過ぎていた。（確かホームルーム開始が九時からだったはず……。）,,,,,,,
,,急いで着替えようとあたふたしていると家のインターホンがなり冬馬と凜が玄関から話しかけてきた。,,,,,,,
2,冬馬,「おーい、悠希。大丈夫か。遅刻するぞー」,,,,,,,
3,凜,「悠希、どうしたのー。なんか困ってるなら手伝うけど～……。」,,,,,,,
1,悠希,「だ、大丈夫だから。あと少し待って～」,,,,,,,
1,悠希,（とりあえず、急いで着替えなきゃ。下着は……分からないから下だけでいいや。次に制服をきて……よし、これで大丈夫だろ。）,,,,,,,
,,俺は勉強机に置いてあった学校用のバッグを背負って玄関に向かった。,,,,,,,
1,悠希,「行ってきます！」,,,,,,,
,,と言って家を後にして学校に向かった。,,,,,,,
,,「いってらっしゃい。きをつけてね」,,,,,,,
,,俺は冬馬、凛と一緒に学校へと急いで向かった。,,,,,,,
,,,,,,,,,
1,悠希,「ふぅ〜、ギリギリ間に合ったな」,学校（昇降口）,,,,,,
2,冬馬,「そうだな。本当にギリギリだけどな」,,,,,,,
1,悠希,「悪かったって」,,,,,,,
3,凜,「それより早く教室に急ぐわよ」,,,,,,,
,,（チャイム音）,学校（教室）,,,,,,
1,悠希,「ギリギリ間に合った。けどなんで俺がTSしてるのに誰も気にしないんだろう？」,,,,,,,
,,「はーい、一時間目の授業始めるぞ～。自分の席に戻れー数学の準備しとけよ」,,,,,,,
1,悠希,「まぁ、今日の夜に考えればいっか」,,,,,,,
1,悠希,「今は授業に集中しないとね」,,,,,,,
,,,,,,MathScene,,,
,,（チャイム音）,学校（廊下）,TRUE,分岐2,,悠希,「思ったより簡単だったけど」,正解数：20問以上
3,凜,「もうそろそろ次の授業よ、席に戻りなさい」,,,,,凜,「そうね。あんなの簡単だったわ」,正解数：20問以上
2,冬馬,「早いな」,,,,,冬馬,「マジかよ。あれで簡単なのか……」,正解数：20問以上
1,悠希,「次は、国語の小テストだよね」,,,,,悠希,「そんな難しくなかったでしょ」,正解数：11～19問
2,冬馬,「またテストかよ」,,,,,凜,「そうね。苦戦するほどではなかったわよ」,正解数：11～19問
3,凜,「まぁ、二人とも頑張りなさい」,,,,,冬馬,「マジかよ。すげーな」,正解数：11～19問
,,,,,分岐3,,悠希,「あれは難しすぎだって」,正解数：5~10問
1,悠希,「今日は、いつも以上に疲れた」,通学路（夕）,,,,凜,「今回のテスト、意外に苦戦したわ」,正解数：5~10問
3,凜,「私も、多少疲れたわ」,,,,,冬馬,「終わった……」,正解数：5~10問
2,冬馬,「俺はそんなに疲れてないぞ」,,,,,,,
1,悠希,「まじか」,,,,,,,
1,悠希,（走った後にテスト二時間して疲れてないって……）,,,,,,,
,,話しながら歩いているといつの間にか家の近くまで来ていた。,,,,,,,
1,悠希,「それじゃ、お疲れー。また明日ー」,,,,,,,
,,「おつかれー。またねー」,,,,,,,
1,悠希,「ただいま～」,,,,,,,
,,「悠希、おかえりなさい。冷蔵庫に夜ご飯あるから食べたら食洗機に入れておいてね。母より」,女の子の部屋（夜）,,,,,,
,,これがある時は、書いてあることさえやっておけばその後は自由時間だ。,,,,,,,
,,私は、メモに書かれたことをやり終えて二階にある自分の部屋に向かった。,,,,,,,
1,悠希,「今日一日、なんで誰も俺が女になってることを疑問に思わなかったんだ？」,,,,,,,
,???,「それは、私が君を元々女の子として暮らしていた結城として世界を書き換えたからだよ」,,,,,,,
1,悠希,「なにこれ？頭に直接声が聞こえる！誰だ⁉」,,,,,,,
4,???,「私は、君たちの世界では神と呼ばれている存在だよ」,,,,,,,
1,悠希,「なんで私にこんなことをしたんだ！」,,,,,,,
4,神,「.........、面白そうだったからかな？」 ,,,,,,,
1,悠希,「え？それだけ」,,,,,,,
4,神,「戻してあげようか？」,,,,,,,
1,悠希,「あれ？急に眠気が……」,,,4,,悠希,「え、いいの？」,
4,神,「まぁ、多少は楽しめたかな」,,,,,悠希,（あやしすぎる）,
4,神,「目が覚めたら戻ってるはずだよ」,,,,,悠希,「お目の目的はなんだ！」,
4,神,「またね～」,,,,,,,
1,悠希,「お、おい！」,,,,,,,
,,,,,,,,,
,悠希の母,「悠希～、そろそろ起きなさい～。学校、遅刻しちゃうわよ～。」,女の子の部屋（朝）,,,,,,
1,悠希,「ん～？（まぁ、とりあえず返事して準備するか）もう起きてるよー。」,,,,,,,
,,違和感がして何か引っかかるがとりあえず着替えようとベッドから降りて立ち上がるとそこは自分の部屋だった。,,,,,,,
1,悠希,「んー。なんか違和感あるんだよなー」,,,,,,,
1,悠希,「あれ？」,,,,,,,
1,悠希,「なんか声が高いな？」,,,,,,,
1,悠希,「心なしか身体にも違和感がするんだけど……。」,,,,,,,
,悠希の母,「悠希～！早く学校に行く準備しなさい。本当に遅刻するわよ」,,,,,,,
,,時計を見たら八時半を過ぎていた。（確かホームルームが九時からだったはずだから……。）,,,,,,,
